Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
Vietnam,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,"4,171.4","3,315.2","3,045.4","2,843.1","2,596.0","2,208.7"
India,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,"2,915.6","3,545.7","3,104.1","2,607.4","3,739.8","4,144.4"
Indonesia,Mobile Phones,Nexian (Metrotech Jaya Komunika Indonesia PT),Metrotech Jaya Komunika Indonesia PT,Retail Volume,000 units,"2,491.5","1,822.6","1,395.9","1,125.0",952.9,686.1
China,Mobile Phones,Newsmy (Beijing Newman Ideal Digital Technology Co Ltd),Beijing Newman Ideal Digital Technology Co Ltd,Retail Volume,000 units,-,-,-,787.7,835.0,843.3
USA,Mobile Phones,Motorola (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"9,911.4","8,076.8","8,992.8","10,716.1","8,060.4","8,824.1"
India,Mobile Phones,Motorola (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,87.4,42.0,14.8,-,-,-
China,Mobile Phones,Motorola (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,606.8,698.0,419.0,230.0,184.0,160.0
China,Mobile Phones,Motorola (Google Inc),Google Inc,Retail Volume,000 units,-,-,-,-,-,-
USA,Mobile Phones,Motorola (Google Inc),Google Inc,Retail Volume,000 units,-,-,-,-,-,-
India,Mobile Phones,Motorola (Google Inc),Google Inc,Retail Volume,000 units,-,-,-,-,-,-
Singapore,Mobile Phones,Motorola (Google Inc),Google Inc,Retail Volume,000 units,-,-,-,-,-,-
Malaysia,Mobile Phones,Motorola (Google Inc),Google Inc,Retail Volume,000 units,-,-,-,-,-,-
India,Mobile Phones,Micromax (Micromax Informatics Ltd),Micromax Informatics Ltd,Retail Volume,000 units,"20,082.8","18,518.5","11,670.7","6,807.7","5,382.9","4,309.5"
China,Mobile Phones,Meizu (Meizu Telecom Equipment Co Ltd),Meizu Telecom Equipment Co Ltd,Retail Volume,000 units,"20,000.0","18,200.0","9,200.0","4,876.0","2,438.0","1,780.0"
China,Mobile Phones,Meitu (Meitu Inc),Meitu Inc,Retail Volume,000 units,748.3,"1,575.0",722.0,289.0,-,-
India,Mobile Phones,Maxx (Maxx Moblink Pvt Ltd),Maxx Moblink Pvt Ltd,Retail Volume,000 units,"2,467.9","3,363.5","3,104.1","2,118.0","1,179.3",480.3
Malaysia,Mobile Phones,Lumia (Microsoft Corp),Microsoft Corp,Retail Volume,000 units,16.4,16.6,11.6,7.0,-,-
